RuleID,Severity,ErrorMessage
DLOCK_01,E,No matching record found in an employer digital account for the UKPRN
DLOCK_02,E,No matching record found in the employer digital account for the ULN
DLOCK_03,E,No matching record found in the employer digital account for the standard code
DLOCK_04,E,No matching record found in the employer digital account for the framework code
DLOCK_05,E,No matching record found in the employer digital account for the programme type
DLOCK_06,E,No matching record found in the employer digital account for the pathway code
DLOCK_07,E,No matching record found in the employer digital account for the negotiated cost of training
DLOCK_08,E,Multiple matching records found in the employer digital account
DLOCK_09,E,The start date for this negotiated price is before the corresponding price start date in the employer digital account
DLOCK_10,E,The employer has stopped payments for this apprentice
